CustomerKey,SalesQuantity,UnitPrice,Education,Gender,MaritalStatus,YearlyIncome,Occupation,SalesAmount,Sum of DiscountAmount,Age
2,38,480.4,Bachelors,M,S,60000,Professional,15902,2355,36
3,38,472.3,Bachelors,M,M,60000,Professional,15650,2297,36
97,38,486.4,Bachelors,M,M,60000,Professional,16108,2375,39
100,38,488.5,Bachelors,M,M,60000,Professional,16172,2391,40
444,38,486.6,Bachelors,F,S,60000,Professional,16156,2334,25
473,38,488.3,Bachelors,M,S,60000,Professional,16244,2310,39
704,38,359.8,Bachelors,F,S,60000,Professional,13120,1095,35
751,38,467.6,Bachelors,F,M,60000,Professional,15631,2137,34
756,38,475.0,Bachelors,M,M,60000,Professional,15937,2114,35
757,38,475.0,Bachelors,F,S,60000,Professional,15937,2114,34
854,38,349.5,Bachelors,F,S,60000,Professional,12622,1126,35
898,38,476.0,Bachelors,M,S,60000,Professional,15924,2165,34
902,38,472.2,Bachelors,F,S,60000,Professional,15789,2156,34
913,38,470.7,Bachelors,F,S,60000,Professional,15771,2116,37
914,38,468.6,Bachelors,F,M,60000,Professional,15707,2100,39
992,38,475.4,Bachelors,M,M,60000,Professional,15902,2164,40
1371,38,500.2,Bachelors,M,M,60000,Professional,16833,2175,40
1666,38,497.8,Bachelors,F,M,60000,Professional,16777,2140,28
1716,38,473.4,Bachelors,M,M,60000,Professional,15966,2025,40
1992,38,480.1,Bachelors,M,M,60000,Professional,16179,2066,34
1993,38,480.1,Bachelors,M,M,60000,Professional,16179,2066,35
1994,38,479.8,Bachelors,M,M,60000,Professional,16169,2065,35
1998,38,499.5,Bachelors,F,M,60000,Professional,16830,2152,36
2008,38,479.9,Bachelors,F,S,60000,Professional,16184,2050,37
2011,38,483.0,Bachelors,F,M,60000,Professional,16273,2082,37
2014,38,488.8,Bachelors,M,M,60000,Professional,16459,2115,40
2106,38,494.6,Bachelors,F,M,60000,Professional,16614,2181,40
2107,38,494.6,Bachelors,F,M,60000,Professional,16614,2181,40
2108,38,494.4,Bachelors,F,M,60000,Professional,16614,2173,40
2109,38,494.8,Bachelors,M,M,60000,Professional,16625,2176,40
2110,38,494.6,Bachelors,F,M,60000,Professional,16620,2175,40
2615,38,500.8,Bachelors,F,S,60000,Professional,16737,2293,28
2616,38,495.5,Bachelors,F,S,60000,Professional,16567,2260,28
2670,38,496.4,Bachelors,F,M,60000,Professional,16599,2265,40
2671,38,496.7,Bachelors,F,S,60000,Professional,16610,2265,40
2926,38,407.3,Bachelors,M,S,60000,Professional,14069,1197,40
2968,38,492.0,Bachelors,M,S,60000,Professional,16488,2208,38
2969,38,485.3,Bachelors,F,S,60000,Professional,16281,2160,38
2974,38,483.6,Bachelors,F,S,60000,Professional,16246,2129,39
2975,38,467.5,Bachelors,F,M,60000,Professional,15748,2018,39
2976,38,473.2,Bachelors,M,S,60000,Professional,15965,2018,39
3049,38,501.3,Bachelors,M,M,60000,Professional,16864,2186,41
3050,38,501.4,Bachelors,F,M,60000,Professional,16867,2186,41
3210,38,506.9,Bachelors,M,M,60000,Professional,17123,2139,28
3305,38,496.6,Bachelors,F,M,60000,Professional,16681,2189,41
3306,38,492.2,Bachelors,M,M,60000,Professional,16535,2167,41
3671,38,502.8,Bachelors,F,S,60000,Professional,16831,2276,35
3672,38,502.8,Bachelors,F,M,60000,Professional,16832,2276,36
3684,38,524.8,Bachelors,F,M,60000,Professional,17666,2277,39
3685,38,524.0,Bachelors,M,M,60000,Professional,17637,2277,40
3687,38,529.5,Bachelors,F,M,60000,Professional,17802,2319,40
4125,38,488.6,Bachelors,F,S,60000,Professional,16521,2045,29
4210,38,524.0,Bachelors,M,M,60000,Professional,17659,2253,41
4211,38,528.0,Bachelors,M,S,60000,Professional,17776,2287,41
4213,38,532.4,Bachelors,M,M,60000,Professional,17900,2331,42
4572,38,359.7,Bachelors,M,S,60000,Professional,12888,980,45
4576,38,498.8,Bachelors,M,M,60000,Professional,16780,2175,35
4580,38,492.6,Bachelors,F,S,60000,Professional,16629,2091,35
4581,38,488.5,Bachelors,M,M,60000,Professional,16471,2091,35
4582,38,488.5,Bachelors,F,S,60000,Professional,16471,2091,36
4583,38,488.5,Bachelors,M,M,60000,Professional,16471,2091,35
4599,38,499.6,Bachelors,F,S,60000,Professional,16870,2115,39
4600,38,489.4,Bachelors,M,S,60000,Professional,16558,2037,38
4604,38,496.0,Bachelors,M,M,60000,Professional,16761,2088,39
4605,38,501.8,Bachelors,M,M,60000,Professional,16948,2121,39
5162,38,493.8,Bachelors,F,M,60000,Professional,16573,2191,35
5165,38,488.2,Bachelors,F,S,60000,Professional,16383,2167,36
5176,38,508.2,Bachelors,M,S,60000,Professional,17215,2096,39
5183,38,489.1,Bachelors,M,M,60000,Professional,16511,2074,39
5184,38,489.8,Bachelors,F,S,60000,Professional,16534,2079,39
5185,38,489.8,Bachelors,F,M,60000,Professional,16534,2079,40
